seed,simulation time,batch size,inference time,accuracy
7,5,32,2.5600292682647705,81.74
7,10,32,4.500399589538574,97.64
7,25,32,10.343816757202148,97.84
7,50,32,20.007100343704224,97.86
7,1,64,0.8058714866638184,9.74
7,5,64,1.3990182876586914,81.74
7,10,64,2.4149258136749268,97.64
7,25,64,5.420369863510132,97.84
7,50,64,10.36820673942566,97.86
7,1,128,0.6524612903594971,9.74
7,5,128,0.8945612907409668,81.74
7,10,128,1.402552843093872,97.64
7,25,128,2.9706974029541016,97.84
7,50,128,5.525512933731079,97.86
7,1,256,0.6297013759613037,9.74
7,5,256,0.7365994453430176,81.74
7,10,256,0.9033470153808594,97.64
7,25,256,1.756314992904663,97.84
7,50,256,3.1584668159484863,97.86
7,1,512,0.5934178829193115,9.74
7,5,512,0.663261890411377,81.74
7,10,512,0.784644365310669,97.64
7,25,512,1.2372801303863525,97.84
7,50,512,2.0598857402801514,97.86
7,1,1024,0.6672022342681885,9.74
7,5,1024,0.7097878456115723,81.74
7,10,1024,0.8295419216156006,97.64
7,25,1024,1.1300599575042725,97.84
7,50,1024,1.693540096282959,97.86
8,1,1,23.43000626564026,9.74
8,5,1,73.11732912063599,81.74
8,10,1,133.0532512664795,97.64
8,25,1,312.27513217926025,97.84
8,1,2,12.249198913574219,9.74
8,5,2,37.006325244903564,81.74
8,10,2,67.30827569961548,97.64
8,25,2,157.39428663253784,97.84
8,50,2,304.14268374443054,97.86
8,1,4,6.3647167682647705,9.74
8,5,4,18.56728768348694,81.74
8,10,4,34.080718755722046,97.64
8,25,4,79.01206254959106,97.84
8,50,4,154.0131311416626,97.86
8,1,8,3.3053932189941406,9.74
8,5,8,9.541860342025757,81.74
8,10,8,17.21947145462036,97.64
8,25,8,39.72837519645691,97.84
8,50,8,77.19854307174683,97.86
8,1,16,1.8127412796020508,9.74
8,5,16,4.917453050613403,81.74
8,10,16,8.811475038528442,97.64
8,25,16,20.139160633087158,97.84
8,50,16,39.404865026474,97.86
8,1,32,1.164149522781372,9.74
8,5,32,2.599088668823242,81.74
8,10,32,4.522871017456055,97.64
8,25,32,10.354319095611572,97.84
8,50,32,19.964484691619873,97.86
8,1,64,0.8005311489105225,9.74
8,5,64,1.4632341861724854,81.74
8,10,64,2.4092419147491455,97.64
8,25,64,5.409234523773193,97.84
8,50,64,10.3694589138031,97.86
8,1,128,0.6743042469024658,9.74
8,5,128,0.8500168323516846,81.74
8,10,128,1.3877532482147217,97.64
8,25,128,2.951296806335449,97.84
8,50,128,5.496774196624756,97.86
8,1,256,0.6191861629486084,9.74
8,5,256,0.7310121059417725,81.74
8,10,256,0.8979406356811523,97.64
8,25,256,1.753528356552124,97.84
8,50,256,3.181084632873535,97.86
8,1,512,0.6332228183746338,9.74
8,5,512,0.7215092182159424,81.74
8,10,512,0.8230147361755371,97.64
8,25,512,1.2355341911315918,97.84
8,50,512,2.0797982215881348,97.86
8,1,1024,0.6654117107391357,9.74
8,5,1024,0.7243058681488037,81.74
8,10,1024,0.8464417457580566,97.64
8,25,1024,1.0690674781799316,97.84
8,50,1024,1.7340047359466553,97.86
9,1,1,23.61747431755066,9.74
9,5,1,73.1966278553009,81.74
9,10,1,133.55226182937622,97.64
9,25,1,312.8903877735138,97.84
9,1,2,12.210624694824219,9.74
9,5,2,36.96581745147705,81.74
9,10,2,67.16153860092163,97.64
9,25,2,157.98865580558777,97.84
9,50,2,303.93741607666016,97.86
9,1,4,6.363149642944336,9.74
9,5,4,18.482998847961426,81.74
9,10,4,33.90935206413269,97.64
9,25,4,78.9979681968689,97.84
9,50,4,154.16948556900024,97.86
9,1,8,3.3339831829071045,9.74
9,5,8,9.558409690856934,81.74
9,10,8,17.223092317581177,97.64
9,25,8,40.03145503997803,97.84
9,50,8,76.966135263443,97.86
9,1,16,1.7992162704467773,9.74
9,5,16,4.915206670761108,81.74
9,10,16,8.794856548309326,97.64
9,25,16,20.063085079193115,97.84
9,50,16,39.06943607330322,97.86
9,1,32,1.1343822479248047,9.74
9,5,32,2.5785748958587646,81.74
9,10,32,4.555471420288086,97.64
9,25,32,10.342580318450928,97.84
9,50,32,19.851824522018433,97.86
9,1,64,0.7782564163208008,9.74
9,5,64,1.3932316303253174,81.74
9,10,64,2.3820717334747314,97.64
9,25,64,5.418967247009277,97.84
9,50,64,10.389233589172363,97.86
9,1,128,0.6784594058990479,9.74
9,5,128,0.8679606914520264,81.74
9,10,128,1.3848602771759033,97.64
9,25,128,2.9732918739318848,97.84
9,50,128,5.57645845413208,97.86
9,1,256,0.6497869491577148,9.74
9,5,256,0.7083721160888672,81.74
9,10,256,0.9277856349945068,97.64
9,25,256,1.7415833473205566,97.84
9,50,256,3.1877870559692383,97.86
9,1,512,0.5897278785705566,9.74
9,5,512,0.7130284309387207,81.74
9,10,512,0.7815220355987549,97.64
9,25,512,1.2316534519195557,97.84
9,50,512,2.0586085319519043,97.86
9,1,1024,0.66062331199646,9.74
9,5,1024,0.7142846584320068,81.74
9,10,1024,0.7862513065338135,97.64
9,25,1024,1.099231243133545,97.84
9,50,1024,1.6337544918060303,97.86
